"","v_names","v_label"
"1","hhid","case identification"
"2","hv000","country code and phase"
"3","hv001","cluster number"
"4","hv002","household number"
"5","hv003","respondent's line number (answering household questionnaire)"
"6","hv004","ultimate area unit"
"7","hv005","household sample weight (6 decimals)"
"8","hv006","month of interview"
"9","hv007","year of interview"
"10","hv008","date of interview (cmc)"
"11","hv008a","date of interview century day code (cdc)"
"12","hv009","number of household members"
"13","hv010","number of eligible women in household"
"14","hv011","number of eligible men in household"
"15","hv012","number of de jure members"
"16","hv013","number of de facto members"
"17","hv014","number of children 5 and under (de jure)"
"18","hv015","result of household interview"
"19","hv016","day of interview"
"20","hv017","number of visits"
"21","hv018","interviewer identification"
"22","hv019","na - keyer identification"
"23","hv020","ever-married sample"
"24","hv021","primary sampling unit"
"25","hv022","sample strata for sampling errors"
"26","hv023","stratification used in sample design"
"27","hv024","state"
"28","hv025","type of place of residence"
"29","hv026","na - place of residence"
"30","hv027","household selected for male interview"
"31","hv028","household weight for male subsample (6 decimals)"
"32","hv030","field supervisor"
"33","hv031","na - field editor"
"34","hv032","na - office editor"
"35","hv035","number of eligible children for height and weight"
"36","hv040","cluster altitude in meters"
"37","hv041","total adults measured"
"38","hv042","household selected for hemoglobin"
"39","hv044","household selected for domestic violence module"
"40","hv045a","language of questionnaire"
"41","hv045b","language of interview"
"42","hv045c","native language of respondent"
"43","hv046","translator used"
"44","hv801","time interview started (hhmm - 24 hour clock)"
"45","hv802","time interview ended (hhmm - 24 hour clock)"
"46","hv803","length of interview in minutes"
"47","hv804","number of visits for biomarker"
"48","hv807d","day of biomarker visit"
"49","hv807m","month of biomarker visit"
"50","hv807y","year of biomarker visit"
"51","hv807c","date of biomarker (cmc)"
"52","hv807a","date of biomarker century day code (cdc)"
"53","hv201","source of drinking water"
"54","hv202","na - source of non-drinking water"
"55","hv201a","na - water not available for at least a day last two weeks"
"56","hv204","time to get to water source (minutes)"
"57","hv205","type of toilet facility"
"58","hv206","has electricity"
"59","hv207","has radio"
"60","hv208","has television"
"61","hv209","has refrigerator"
"62","hv210","has bicycle"
"63","hv211","has motorcycle/scooter"
"64","hv212","has car/truck"
"65","hv213","main floor material"
"66","hv214","main wall material"
"67","hv215","main roof material"
"68","hv216","number of rooms used for sleeping"
"69","hv217","relationship structure"
"70","hv218","line number of head of household"
"71","hv219","sex of head of household"
"72","hv220","age of head of household"
"73","hv221","has telephone (land-line)"
"74","hv225","share toilet with other households"
"75","hv226","type of cooking fuel"
"76","hv227","has mosquito bed net for sleeping"
"77","hv228","children under 5 slept under mosquito bed net last night"
"78","hv230a","place where household members wash their hands"
"79","hv230b","presence of water at hand washing place"
"80","hv232","items present: soap or detergent"
"81","hv232b","items present: ash, mud, sand"
"82","hv232c","na - items present: cs"
"83","hv232d","na - items present: cs"
"84","hv232e","na - items present: cs"
"85","hv232y","items present: none"
"86","hv234","na - result of salt test for iodine (ppm)"
"87","hv234a","result of salt test for iodine"
"88","hv235","location of source for water"
"89","hv236","person fetching water"
"90","hv237","anything done to water to make safe to drink"
"91","hv237a","water usually treated by: boil"
"92","hv237b","water usually treated by: add bleach/chlorine"
"93","hv237c","water usually treated by: strain through a cloth"
"94","hv237d","water usually treated by: use water filter"
"95","hv237e","water usually treated by: solar disinfection"
"96","hv237f","water usually treated by: let it stand and settle"
"97","hv237g","water usually treated by: use alum"
"98","hv237h","water usually treated by: electronic purifier"
"99","hv237i","na - water usually treated by: cs"
"100","hv237j","na - water usually treated by: cs"
"101","hv237k","na - water usually treated by: cs"
"102","hv237x","water usually treated by: other"
"103","hv237z","water usually treated by: don't know"
"104","hv238","number of households sharing toilet"
"105","hv238a","location of toilet facility"
"106","hv239","na - food cooked on stove or open fire"
"107","hv240","na - household has a chimney, hood or neither"
"108","hv241","food cooked in the house/ separate building/ outdoors"
"109","hv242","household has separate room used as kitchen"
"110","hv243a","has mobile telephone"
"111","hv243b","has watch"
"112","hv243c","has animal-drawn cart"
"113","hv243d","na - has boat with a motor"
"114","hv243e","has a computer"
"115","hv244","owns land usable for agriculture"
"116","hv245","hectares of agricultural land (1 decimal)"
"117","hv246","owns livestock, herds or farm animals"
"118","hv246a","na - owns cattle"
"119","hv246b","na - owns cows/ bulls"
"120","hv246c","na - owns horses/ donkeys/ mules"
"121","hv246d","na - owns goats"
"122","hv246e","na - owns sheep"
"123","hv246f","na - owns chickens/poultry"
"124","hv246g","na - owns camels"
"125","hv246h","na - owns goats or sheep"
"126","hv246i","na - owns pigs"
"127","hv246j","na - owns cs"
"128","hv246k","na - owns cs"
"129","hv247","has bank account"
"130","hv252","frequency household members smoke inside the house"
"131","hv253","na - has dwelling been sprayed against mosquitoes in last 12 months"
"132","hv253a","na - dwelling sprayed by: government worker/program"
"133","hv253b","na - dwelling sprayed by: private company"
"134","hv253c","na - dwelling sprayed by: ngo"
"135","hv253d","na - dwelling sprayed by: cs"
"136","hv253e","na - dwelling sprayed by: cs"
"137","hv253f","na - dwelling sprayed by: cs"
"138","hv253g","na - dwelling sprayed by: cs"
"139","hv253h","na - dwelling sprayed by: cs"
"140","hv253x","na - dwelling sprayed by: other"
"141","hv253z","na - dwelling sprayed by: don't know"
"142","hv270","wealth index combined"
"143","hv271","wealth index factor score combined (5 decimals)"
"144","hv270a","wealth index for urban/rural"
"145","hv271a","wealth index factor score for urban/rural (5 decimals)"
"146","hml1","number of mosquito bed nets"
"147","hml1a","number of mosquito bed nets with specific information"
"148","hml2","number of children under mosquito bed net previous night"
"149","chl0","na - number of de-jure children 5-14 for child labor module"
"150","shphase","survey phase"
"151","shdist","district number"
"152","shweight","household weight (6 decimals) (state level)"
"153","shmweight","household weight - male subsample (6 decimals) (state level)"
"154","shdbs","eligiblity for dbs collection"
"155","sh28","does any usual resident of your household suffer from tuberculosis?"
"156","sh29a","person 01: who suffer from tuberculosis (line number)"
"157","sh29a1","person 01: where medical treatment was received?"
"158","sh29b","person 02: who suffer from tuberculosis (line number)"
"159","sh29b1","person 02: where medical treatment was received?"
"160","sh29c","person 03: who suffer from tuberculosis (line number)"
"161","sh29c1","person 03: where medical treatment was received?"
"162","sh29d","person 04: who suffer from tuberculosis (line number)"
"163","sh29d1","person 04: where medical treatment was received?"
"164","sh31","does any member of this household including you have any disability?"
"165","sh33a","person 01: who suffer from disability (line number)"
"166","sh33b","person 02: who suffer from disability (line number)"
"167","sh33c","person 03: who suffer from disability (line number)"
"168","sh33d","person 04: who suffer from disability (line number)"
"169","sh33a1a","person 01: disablity - hearing"
"170","sh33a1b","person 01: disablity - speech"
"171","sh33a1c","person 01: disablity - visual"
"172","sh33a1d","person 01: disablity - mental"
"173","sh33a1e","person 01: disablity - locomotor"
"174","sh33a1x","person 01: disablity - other"
"175","sh33b1a","person 02: disablity - hearing"
"176","sh33b1b","person 02: disablity - speech"
"177","sh33b1c","person 02: disablity - visual"
"178","sh33b1d","person 02: disablity - mental"
"179","sh33b1e","person 02: disablity - locomotor"
"180","sh33b1x","person 02: disablity - other"
"181","sh33c1a","person 03: disablity - hearing"
"182","sh33c1b","person 03: disablity - speech"
"183","sh33c1c","person 03: disablity - visual"
"184","sh33c1d","person 03: disablity - mental"
"185","sh33c1e","person 03: disablity - locomotor"
"186","sh33c1x","person 03: disablity - other"
"187","sh33d1a","person 04: disablity - hearing"
"188","sh33d1b","person 04: disablity - speech"
"189","sh33d1c","person 04: disablity - visual"
"190","sh33d1d","person 04: disablity - mental"
"191","sh33d1e","person 04: disablity - locomotor"
"192","sh33d1x","person 04: disablity - other"
"193","sh37b","in the past two weeks, was the water from this source not available for at least"
"194","sh44","do member of your household have access to a toilet facility?"
"195","sh45","what kind of toilet facility do members of your household have access to?"
"196","sh46","what type of drainage facility does this household have?"
"197","sh47","what is the religion of the head of the household?"
"198","sh48","what is the caste or tribe of the head of the household?"
"199","sh49","is this a scheduled caste, a scheduled tribe, other backward class, or none of t"
"200","sh50b","mattress"
"201","sh50c","pressure cooker"
"202","sh50d","chair"
"203","sh50e","cot or bed"
"204","sh50f","table"
"205","sh50g","electric fan"
"206","sh50i","black and white television"
"207","sh50j","colour television"
"208","sh50k","sewing machine"
"209","sh50n","internet"
"210","sh50q","air conditioner/cooler"
"211","sh50r","washing machine"
"212","sh50x","water pump"
"213","sh50y","thresher"
"214","sh50z","tractor"
"215","sh52","in this household, is food cooked on a stove, a chullah or an open fire?"
"216","sh55","does the room used as kitchen have any ventalation?"
"217","sh56a","dispose the kitchen waste - let out into drain/sewer"
"218","sh56b","dispose the kitchen waste - open drain"
"219","sh56c","dispose the kitchen waste - closed drain"
"220","sh56d","dispose the kitchen waste - reuse for garden or farming"
"221","sh56e","dispose the kitchen waste - reuse for other domestic purposes"
"222","sh56f","dispose the kitchen waste - manual collection"
"223","sh56x","dispose the kitchen waste - other"
"224","sh61","does this household own this house or any other house?"
"225","sh62","who owns the house?"
"226","sh64","who owns this agricultural land?"
"227","sh66","out of this land, how much is irrigated?"
"228","sh67a","cows / bulls / buffaloes / yaks"
"229","sh67b","camels"
"230","sh67c","horses / donkeys / mules"
"231","sh67d","goats or sheep"
"232","sh67e","pigs"
"233","sh67f","chickens / ducks"
"234","sh69","does this household share any sleeping room with this(these) animal(s)?"
"235","sh71","is any usual member of this household covered by a health scheme or health insur"
"236","sh72a","health insurance or scheme: employees state insurance scheme"
"237","sh72b","health insurance or scheme: central government health scheme"
"238","sh72c","health insurance or scheme: state health insurance scheme"
"239","sh72d","health insurance or scheme: rashtriya swasthya bima yojana"
"240","sh72e","health insurance or scheme: community health insurance programme"
"241","sh72f","health insurance or scheme: other health insurance through employer"
"242","sh72g","health insurance or scheme: medical reimbersement from employer"
"243","sh72h","health insurance or scheme: other privately purchased commercial health insuranc"
"244","sh72x","health insurance or scheme: other"
"245","sh73","when members of your household get sick, where do they generally go for treatmen"
"246","sh74a","reason not going to a government facility for sickness: no nearby facility"
"247","sh74b","reason not going to a government facility for sickness: facility timing not conv"
"248","sh74c","reason not going to a government facility for sickness: heatlh personnel often a"
"249","sh74d","reason not going to a government facility for sickness: waiting time too long"
"250","sh74e","reason not going to a government facility for sickness: poor quality of care"
"251","sh74x","reason not going to a government facility for sickness: other"
"252","sh75","does this household have a bpl card?"
"253","sh87","did any usual member of this household die since january 2011?"
"254","sh88","total number of deaths"
"255","shnfhs2","house type (as defined in nfhs-2 and 3)"
"256","shstruc","household structure"
"257","sv270s","wealth index within state"
"258","sv271s","wealth index factor score within state (5 decimals)"
"259","sv270us","wealth index - urban within state"
"260","sv271us","wealth index factor score (5 decimals) - urban"
"261","sv270rs","wealth index - rural within state"
"262","sv271rs","wealth index factor score (5 decimals) - rural"
"263","shcrefuse","questionnaire refusal due to covid-19"
"264","hvidx_01","line number"
"265","hvidx_02","line number"
"266","hvidx_03","line number"
"267","hvidx_04","line number"
"268","hvidx_05","line number"
"269","hvidx_06","line number"
"270","hvidx_07","line number"
"271","hvidx_08","line number"
"272","hvidx_09","line number"
"273","hvidx_10","line number"
"274","hvidx_11","line number"
"275","hvidx_12","line number"
"276","hvidx_13","line number"
"277","hvidx_14","line number"
"278","hvidx_15","line number"
"279","hvidx_16","line number"
"280","hvidx_17","line number"
"281","hvidx_18","line number"
"282","hvidx_19","line number"
"283","hvidx_20","line number"
"284","hvidx_21","line number"
"285","hvidx_22","line number"
"286","hvidx_23","line number"
"287","hvidx_24","line number"
"288","hvidx_25","line number"
"289","hvidx_26","line number"
"290","hvidx_27","line number"
"291","hvidx_28","line number"
"292","hvidx_29","line number"
"293","hvidx_30","line number"
"294","hvidx_31","line number"
"295","hvidx_32","line number"
"296","hvidx_33","line number"
"297","hvidx_34","line number"
"298","hvidx_35","line number"
"299","hv101_01","relationship to head"
